City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
leh,34.17,77.58,35.1,64,0,3.58,IN,1602977301
tsaratanana,-16.78,47.65,75.47,48,95,8.12,MG,1602977302
shimanovsk,52.0,127.7,27.45,79,0,12.28,RU,1602977304
auki,-8.77,160.7,88.2,60,87,1.86,SB,1602977268
luanda,-8.84,13.23,75.16,85,99,9.95,AO,1602977306
capitan bado,-23.27,-55.53,73.56,65,48,7.72,PY,1602977049
moroni,-11.7,43.26,76.51,78,0,5.59,KM,1602977308
bajil,15.06,43.29,87.03,57,0,1.14,YE,1602977309
yulara,-25.24,130.99,71.6,49,0,18.34,AU,1602977208
zvishavane,-20.33,30.07,67.68,58,0,1.95,ZW,1602977312
inhambane,-23.86,35.38,68.79,77,0,7.87,MZ,1602977259
georgetown,5.41,100.34,77.0,94,40,4.7,MY,1602977221
townsville,-19.25,146.8,79.0,65,40,12.75,AU,1602977315
ketchikan,55.34,-131.65,48.2,75,90,5.82,US,1602977316
poum,-20.23,164.02,73.56,75,13,10.47,NC,1602977317
san carlos de bariloche,-41.15,-71.31,53.01,75,75,25.28,AR,1602977318
volchikha,52.03,80.38,52.02,45,100,12.62,RU,1602977319
nizhniy chir,48.36,43.09,60.17,68,71,13.33,RU,1602977320
novopokrovka,49.84,36.55,60.8,93,90,6.71,UA,1602977321
lata,40.16,-8.33,60.01,93,20,4.7,PT,1602977251
bhuj,23.27,69.67,82.51,75,64,9.69,IN,1602977323
baruun-urt,46.68,113.28,30.87,87,0,6.26,MN,1602977324
cayenne,4.93,-52.33,78.8,88,20,10.87,GF,1602977040
doume,4.23,13.45,68.45,97,99,0.94,CM,1602977327
kysyl-syr,63.9,122.76,9.48,95,97,5.88,RU,1602977328
dakar,14.69,-17.44,82.4,94,40,8.9,SN,1602977248
seoul,37.57,126.98,48.2,87,1,0.89,KR,1602977227
peniche,39.36,-9.38,59.0,85,31,9.26,PT,1602977331
cilegon,-6.02,106.05,78.8,83,20,4.7,ID,1602977333
kanina,-10.73,25.47,68.4,58,21,3.94,CD,1602977334
itarema,-2.92,-39.92,79.23,79,84,15.73,BR,1602977335
alihe,50.57,123.72,28.13,83,3,6.62,CN,1602977336
chicama,-7.84,-79.15,66.54,72,36,6.71,PE,1602977337
little current,45.98,-81.92,42.8,87,90,13.87,CA,1602977338
ondangwa,-17.92,15.95,77.0,18,0,4.7,NA,1602977339
mancio lima,-7.61,-72.9,77.77,82,22,2.66,BR,1602977340
hofn,64.25,-15.21,40.96,82,100,3.0,IS,1602977262
mehamn,71.04,27.85,36.82,78,91,10.04,NO,1602977342
somanda,-3.37,33.95,75.87,40,84,12.33,TZ,1602977343
sinnamary,5.38,-52.95,81.14,80,89,11.54,GF,1602977230
carballo,43.21,-8.69,54.0,93,98,2.24,ES,1602977207
juybar,36.64,52.91,61.45,52,0,2.95,IR,1602977346
rongcheng,30.63,117.85,55.94,89,18,2.26,CN,1602977348
rawson,-43.3,-65.1,70.05,29,24,16.89,AR,1602977349
adrar,20.5,-10.07,88.56,20,0,9.15,MR,1602977206
langxiang,46.95,128.88,35.55,86,69,3.11,CN,1602977351
bar harbor,44.39,-68.2,45.0,86,1,3.36,US,1602977352
kununurra,-15.77,128.73,86.0,58,40,6.93,AU,1602977069
luena,-11.78,19.92,65.43,68,9,2.55,AO,1602977356
tabuk,17.42,121.44,75.79,87,75,3.22,PH,1602977357
borovoy,55.43,86.08,50.0,58,100,11.18,RU,1602977359
alizai,33.54,70.35,60.4,31,0,2.84,PK,1602977360
butajira,8.12,38.37,59.68,57,94,3.44,ET,1602977361
labuhan,-6.88,112.21,78.6,77,90,10.25,ID,1602977243
khorramshahr,30.44,48.17,69.8,49,0,4.7,IR,1602977363
dale,38.17,-86.99,60.8,29,1,6.93,US,1602977116
mount gambier,-37.83,140.77,55.4,62,90,8.05,AU,1602977212
rio esteban,15.83,-86.3,82.4,78,75,3.36,HN,1602977366
toktogul,41.87,72.94,53.47,44,0,0.38,KG,1602977367
hejnice,50.88,15.18,43.0,92,90,4.12,CZ,1602977370
arlit,18.74,7.39,90.81,12,0,6.8,NE,1602977228
abha,18.22,42.51,59.0,28,0,4.7,SA,1602977373
lexington park,38.27,-76.45,53.6,76,1,5.01,US,1602977374
namatanai,-3.67,152.43,82.42,74,100,3.24,PG,1602977218
alyangula,-13.85,136.42,82.4,78,40,5.82,AU,1602977353
saint-georges,12.06,-61.75,82.4,83,20,11.07,GD,1602977379
khandyga,62.67,135.6,18.28,96,100,3.98,RU,1602977285
bandarbeyla,9.49,50.81,79.32,78,1,7.63,SO,1602977232
fort nelson,58.81,-122.7,28.4,46,20,3.36,CA,1602977240
bosobolo,4.18,19.9,72.0,94,100,0.49,CD,1602977384
san cristobal,7.77,-72.22,87.8,48,40,13.87,VE,1602977255
songkhla,6.83,100.67,77.0,100,75,4.7,TH,1602977386
sakiai,54.95,23.04,39.2,86,81,1.12,LT,1602977387
visakhapatnam,17.69,83.21,79.74,80,85,5.35,IN,1602977388
moron,-34.65,-58.62,70.0,80,16,1.99,AR,1602977389
dutse,11.76,9.34,80.87,43,38,8.03,NG,1602977390
harper,4.38,-7.72,77.07,90,66,8.43,LR,1602977392
tlanepantla,18.85,-97.9,71.6,40,40,8.05,MX,1602977393
foca,38.67,26.76,68.0,82,75,4.83,TR,1602977394
ngunguru,-35.62,174.5,69.01,55,1,1.99,NZ,1602977204
kampot,10.62,104.18,77.0,94,75,10.29,KH,1602977396
miandrivazo,-19.52,45.47,77.47,65,1,0.54,MG,1602977397
bonthe,7.53,-12.51,78.64,88,14,6.4,SL,1602977398
mailsi,29.8,72.18,69.71,22,0,1.54,PK,1602977400
zhigalovo,54.81,105.16,39.02,88,100,4.92,RU,1602977401
gamba,-2.65,10.0,76.41,87,100,4.56,GA,1602977402
podgornoye,51.73,39.15,50.0,81,90,11.18,RU,1602977404
krasnoselkup,65.7,82.47,22.86,97,97,7.54,RU,1602977405
lethem,3.38,-59.8,84.67,48,100,4.9,GY,1602977408
ntchisi,-13.53,33.91,61.63,66,8,4.47,MW,1602977410
virginia beach,36.85,-75.98,57.0,58,20,3.36,US,1602977157
sembe,1.65,14.58,70.77,95,93,1.07,CG,1602977412
nome,64.5,-165.41,37.4,86,90,25.28,US,1602977204
simao,22.79,100.97,59.88,85,80,2.13,CN,1602977414
hammerfest,70.66,23.68,30.2,100,83,4.7,NO,1602977415
dingzhou,38.51,115.0,46.4,61,0,6.71,CN,1602977321
kyaukse,21.6,96.13,80.6,83,75,3.36,MM,1602977417
talnakh,69.49,88.4,28.4,86,100,13.42,RU,1602977318
santa isabel do rio negro,-0.41,-65.02,82.78,61,84,1.61,BR,1602977420
taltal,-25.4,-70.48,59.23,72,22,5.23,CL,1602977422
tessalit,20.2,1.01,84.7,16,0,7.54,ML,1602977254
bahia honda,22.9,-83.16,79.72,81,47,12.66,CU,1602977425
natchitoches,31.77,-93.13,69.8,60,90,6.93,US,1602977426
ahuimanu,21.44,-157.84,84.2,66,40,9.17,US,1602977427
zhengjiatun,43.51,123.51,43.56,58,0,7.61,CN,1602977429
nantucket,41.28,-70.1,54.0,54,1,9.17,US,1602977394
rafaela,-31.25,-61.49,84.0,55,37,1.99,AR,1602977431
sosua,19.77,-70.52,82.4,88,40,12.8,DO,1602977432
kiunga,-6.12,141.29,79.59,81,92,4.45,PG,1602977434
shakiso,5.75,38.92,58.46,97,100,0.87,ET,1602977436
havoysund,71.0,24.66,30.2,100,95,4.7,NO,1602977437
eydhafushi,5.1,73.07,81.88,78,18,14.99,MV,1602977438
smolenka,52.14,113.5,32.0,91,78,11.18,RU,1602977439
praia da vitoria,38.73,-27.07,60.8,67,20,13.82,PT,1602977318
zakamensk,50.37,103.29,31.98,85,51,2.66,RU,1602977441
rajgarh,28.63,75.38,72.37,22,0,2.44,IN,1602977443
linares,-35.85,-71.6,55.08,66,21,6.26,CL,1602977444
syracuse,37.09,15.28,62.01,93,34,8.05,IT,1602977445
kochubey,44.39,46.58,58.44,97,1,8.55,RU,1602977446
metairie,29.98,-90.15,72.0,49,1,8.05,US,1602977447
gua musang,4.88,101.96,75.51,89,100,0.72,MY,1602977448
kisangani,0.52,25.2,70.88,94,100,1.48,CD,1602977449
camaguey,21.38,-77.92,80.6,83,85,10.29,CU,1602977451
the valley,18.22,-63.06,82.4,78,20,9.17,AI,1602977306
majenang,-7.3,108.76,77.23,81,84,3.2,ID,1602977453
pangai,-19.8,-174.35,78.26,86,24,16.37,TO,1602977310
tabou,4.42,-7.35,77.07,91,64,7.81,CI,1602977455
rach gia,10.02,105.08,75.2,100,75,3.36,VN,1602977456
santiago del estero,-27.8,-64.26,86.38,43,9,10.07,AR,1602977457
honefoss,60.17,10.26,37.99,56,40,4.63,NO,1602977459
sant julia de loria,42.46,1.48,41.0,76,50,4.7,AD,1602977460
bud,39.45,-86.18,57.2,30,1,11.41,US,1602977461
ustrzyki dolne,49.43,22.59,37.0,93,100,11.99,PL,1602977462
haines junction,60.75,-137.51,24.98,71,0,1.9,CA,1602977214
vammala,61.33,22.9,41.0,86,90,4.7,FI,1602977465
puerto madryn,-42.77,-65.04,67.08,37,31,14.94,AR,1602977466
ilebo,-4.32,20.58,70.57,95,69,0.76,CD,1602977467
changying,52.87,123.32,23.9,82,25,6.76,CN,1602977469
teacapan,22.55,-105.75,86.14,77,0,11.9,MX,1602977470
chumikan,54.72,135.31,29.86,91,100,8.93,RU,1602977280
yafran,32.06,12.53,57.69,74,100,7.2,LY,1602977472
filadelfia,39.95,-75.16,57.0,36,20,3.36,US,1602977105
vetovo,43.7,26.27,50.0,67,0,11.86,BG,1602977474
srednekolymsk,67.45,153.68,24.49,97,74,8.16,RU,1602977294
lusambo,-4.97,23.45,69.82,91,14,0.74,CD,1602977476
santa marinella,42.03,11.85,48.99,89,0,4.7,IT,1602977477
jizan,17.33,42.67,82.4,78,0,0.83,SA,1602977478
aktash,50.3,87.73,24.12,80,100,5.12,RU,1602977299
farafenni,13.57,-15.6,80.24,80,0,5.26,GM,1602977482
lakatoro,-16.1,167.42,82.4,69,40,5.82,VU,1602977483
oranjemund,-28.55,16.43,58.01,91,1,7.36,NA,1602977484
mount isa,-20.73,139.5,87.8,43,0,12.75,AU,1602977485
svetlogorsk,52.63,29.73,42.06,93,100,11.52,BY,1602977235
kaitangata,-46.28,169.85,53.22,62,29,4.92,NZ,1602977239
saint anthony,45.02,-93.22,46.0,65,90,11.41,US,1602977247
namibe,-15.2,12.15,69.08,74,14,8.77,AO,1602977245
surab,28.49,66.26,50.38,33,0,9.51,PK,1602977490
fort abbas,29.19,72.85,71.92,21,0,2.44,PK,1602977492
gornopravdinsk,60.05,69.9,30.18,93,95,15.03,RU,1602977493
quixada,-4.97,-39.02,74.86,83,51,10.22,BR,1602977426
